Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
57423820,Rescuing Socrates: How the Great Books Changed My Life and Why They Matter for a New Generation,Roosevelt Montás,"Montás, Roosevelt",,"=""0691200394""","=""9780691200392""",0,3.95,Princeton University Press,Hardcover,238,2021,2021,,2021/11/16,to-read,to-read (#109),to-read,,,,0,0
54626223,"Harlem Shuffle (Ray Carney, #1)",Colson Whitehead,"Whitehead, Colson",,"=""0385545134""","=""9780385545136""",3,3.73,Doubleday,Hardcover,318,2021,2021,2021/11/06,2021/10/24,,,read,,,,1,0
50084065,Heart of Darkness,Joseph Conrad,"Conrad, Joseph",Karen Swallow Prior,"=""1462796656""","=""9781462796656""",4,3.43,B Books,Hardcover,240,2020,1899,2021/11/05,2021/10/24,,,read,,,,1,0
25491442,Far From the Madding Crowd,Thomas Hardy,"Hardy, Thomas","Rosemarie Morgan, Shannon Russell","=""""","=""""",3,3.96,Penguin Classics,Paperback,433,2003,1874,2021/10/23,2019/04/09,,,read,,,,1,0
89717,The Haunting of Hill House,Shirley Jackson,"Jackson, Shirley",,"=""0143039989""","=""9780143039983""",4,3.82,Penguin Classics,Paperback,182,2006,1959,2018/12/26,2018/12/15,,,read,,,,2,0
50790164,This Too Shall Last: Finding Grace When Suffering Lingers,K.J.  Ramsey,"Ramsey, K.J.",Kelly M. Kapic,"=""0310107253""","=""9780310107255""",4,4.40,Zondervan,Paperback,224,2020,2020,,2021/10/08,,,read,,,,2,0
55169040,We Are the Brennans,Tracey Lange,"Lange, Tracey",,"=""1250796229""","=""9781250796226""",2,3.81,Celadon Books,Hardcover,274,2021,2021,2021/10/07,2021/10/02,,,read,,,,1,0
27833670,Dark Matter,Blake Crouch,"Crouch, Blake",,"=""1101904224""","=""9781101904220""",4,4.14,Ballantine Books,Hardcover,342,2016,2016,2021/09/30,2021/09/25,,,read,,,,1,0
18816,Problems of Dostoevsky's Poetics,Mikhail Bakhtin,"Bakhtin, Mikhail",,"=""0816612285""","=""9780816612284""",5,4.36,University Of Minnesota Press,Paperback,334,1984,1963,2021/09/27,2017/03/03,,,read,,,,1,0
39887803,Demons,Fyodor Dostoevsky,"Dostoevsky, Fyodor","Richard Pevear, Larissa Volokhonsky","=""0679734511""","=""9780679734512""",4,4.30,Vintage Classics,Paperback,768,1995,1872,2016/09/29,2016/08/26,,,read,,,,2,0
135451,God of Promise: Introducing Covenant Theology,Michael Scott Horton,"Horton, Michael Scott",,"=""0801012899""","=""9780801012891""",3,3.98,Baker Books,Hardcover,204,2006,2006,2021/09/08,2021/07/26,,,read,,,,1,0
45836683,The Omni-Americans: Some Alternatives to the Folklore of White Supremacy,Albert Murray,"Murray, Albert",Henry Louis Gates Jr.,"=""1598536524""","=""9781598536522""",4,4.10,Library of America,Paperback,250,2020,1970,2021/09/02,2020/06/28,,,read,,,,1,0
24280,Les Misérables,Victor Hugo,"Hugo, Victor","Norman MacAfee, Charles E. Wilbour, Lee Fahnestock, Isabel Florence Hapgood","=""""","=""""",5,4.21,Penguin,Mass Market Paperback,1463,1987,1862,2021/09/01,2016/01/17,,,read,,,,1,0
